,id,app_name,genres,specs,tags
0,10,Counter-Strike,Action,"Multi-player, Valve Anti-Cheat enabled","Action, FPS, Multiplayer, Shooter, Classic, Team-Based, Competitive, First-Person, Tactical, 1990's, e-sports, PvP, Military, Strategy, Score Attack, Survival, Assassin, 1980s, Ninja, Tower Defense"
1,10090,Call of Duty: World at War,Action,"Single-player, Multi-player, Co-op","Zombies, World War II, FPS, Action, Multiplayer, Shooter, Moddable, Co-op, First-Person, Singleplayer, War, Online Co-Op, Gore, Historical, Survival, Classic, Tanks, Great Soundtrack, Adventure, Horror"
2,10130,TimeShift™,Action,"Single-player, Multi-player","Action, FPS, Time Manipulation, Sci-fi, First-Person, Shooter, Atmospheric, Singleplayer, Bullet Time, Multiplayer, Classic, Futuristic, Time Travel"
3,10140,3D Ultra™ Minigolf Adventures,Sports,Single-player,"Sports, Mini Golf, Golf, Local Multiplayer"
4,10150,Prototype™,"Action, Adventure",Single-player,"Action, Open World, Adventure, Third Person, Gore, Singleplayer, Parkour, Superhero, Zombies, Hack and Slash, Action-Adventure, Violent, Sci-fi, Sandbox, Story Rich, Stealth, RPG, Atmospheric, Controller, Horror"
5,10180,Call of Duty®: Modern Warfare® 2,Action,"Single-player, Multi-player, Co-op, Steam Achievements, Steam Cloud, Valve Anti-Cheat enabled","Action, FPS, Multiplayer, Shooter, First-Person, Singleplayer, War, Co-op, Military, Online Co-Op, PvP, Great Soundtrack, Adventure, Story Rich, Atmospheric, Linear, Tactical, Strategy, Moddable, Zombies"
6,10220,Postal III,Action,"Single-player, Steam Achievements","Action, Dark Humor, Gore, Open World, Third-Person Shooter, Funny, Violent, Third Person, Comedy, Shooter, Singleplayer, Sandbox, Mature, Adventure, Nudity, FPS, Great Soundtrack, Indie, Story Rich, First-Person"
7,102500,Kingdoms of Amalur: Reckoning™,"Action, RPG","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud","RPG, Fantasy, Open World, Singleplayer, Action RPG, Action, Adventure, Third Person, Loot, Story Rich, Magic, Character Customization, Hack and Slash, Exploration, Sandbox, Controller, Crafting, Atmospheric, Female Protagonist, Great Soundtrack"
8,102600,Orcs Must Die!,"Action, Indie, Strategy","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Stats, Steam Leaderboards","Tower Defense, Action, Strategy, Third Person, Indie, Fantasy, Singleplayer, Comedy, Third-Person Shooter, Funny, Cartoony, Magic, Score Attack, Great Soundtrack, Shooter, Multiplayer, RPG, Adventure, Arcade, Co-op"
9,102700,A.V.A. Alliance of Valiant Arms™,"Action, Free to Play","Multi-player, Online Multi-Player, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards","Free to Play, FPS, Action, Multiplayer, Shooter, Zombies, First-Person, Co-op, Massively Multiplayer, Singleplayer, Online Co-Op, Survival, Adventure, Open World, Strategy, Funny, Military, Gore, Horror, Controller"
10,102840,Shank 2,"Action, Adventure, Indie","Single-player, Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards","Action, Beat 'em up, Indie, Adventure, 2D, Local Co-Op, Side Scroller, Platformer, Co-op, Gore, Hack and Slash, Stylized, Mature, Shooter, Controller, Singleplayer, Difficult"
11,102850,Warp,"Action, Adventure, Indie","Single-player, Partial Controller Support","Action, Adventure, Indie, Puzzle, Stealth, Aliens"
12,104000,iBomber Defense,"Indie, Strategy","Single-player, Steam Achievements, Steam Cloud","Strategy, Tower Defense, Indie, Casual"
13,104200,BEEP,"Adventure, Indie","Single-player, Steam Trading Cards","Indie, Platformer, Adventure, Puzzle, Singleplayer, Physics, 2D, Action, Strategy, Shoot 'Em Up, Great Soundtrack, Difficult, Casual, Anime, Shooter, Family Friendly, Sci-fi, Exploration, Open World, Comedy"
14,104600,Portal 2 - The Final Hours, ,Single-player,"Documentary, Singleplayer"
15,104700,Super MNC,"Free to Play, Action, Strategy, Indie, Sports","Multi-player, Partial Controller Support, Stats, Steam Leaderboards","Free to Play, Action, Multiplayer, MOBA, Shooter, Third-Person Shooter, Strategy, Funny, Indie, Sports, Competitive, Character Customization, Massively Multiplayer, Co-op, Third Person, First-Person, Comedy, Adventure, Class-Based, Singleplayer"
16,104900,ORION: Prelude,"Action, Adventure, Indie, RPG","Single-player, Multi-player, Online Multi-Player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Valve Anti-Cheat enabled, Stats, Steam Leaderboards, Includes level editor","Dinosaurs, Action, FPS, Multiplayer, Online Co-Op, Co-op, Shooter, Indie, Adventure, Open World, Sci-fi, First-Person, Team-Based, Third-Person Shooter, Singleplayer, Mechs, PvP, Strategy, Third Person, Rogue-like"
17,10500,Empire: Total War™,Strategy,"Single-player, Multi-player, Steam Achievements, Steam Trading Cards, Stats","Strategy, Historical, Military, Grand Strategy, Turn-Based Strategy, War, Tactical, RTS, Multiplayer, Singleplayer, Turn-Based, America, Naval, Great Soundtrack, Action, Turn-Based Tactics, Real Time Tactics, Atmospheric, Adventure, Classic"
18,105000,A New Beginning - Final Cut,"Adventure, Indie","Single-player, Steam Achievements","Adventure, Point & Click, Indie, Sci-fi, Post-apocalyptic, Hand-drawn, Singleplayer, Puzzle, Female Protagonist, Story Rich, 2D"
19,105100,Lume,"Adventure, Casual, Indie",Single-player,"Adventure, Indie, Point & Click, Casual, Puzzle, Short, Female Protagonist, Singleplayer"
20,105300,Critical Mass,"Casual, Indie","Single-player, Steam Achievements","Casual, Indie, Puzzle, Singleplayer, Match 3"
21,105420,Ms. Splosion Man,"Action, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Partial Controller Support, Steam Cloud, Steam Leaderboards","Indie, Action, Platformer, Female Protagonist, Co-op, Local Co-Op, Comedy"
22,105450,Age of Empires® III: Complete Collection,"Simulation, Strategy","Single-player, Multi-player, Steam Trading Cards","Strategy, RTS, Base Building, Historical, Multiplayer, Resource Management, City Builder, War, Simulation, Real-Time, Singleplayer, Classic, Military, Building, Open World, Action, Co-op, Real-Time with Pause, Adventure, Online Co-Op"
23,105600,Terraria,"Action, Adventure, Indie, RPG","Single-player, Multi-player, Online Multi-Player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud","Sandbox, Adventure, Survival, 2D, Multiplayer, Crafting, Building, Exploration, Pixel Graphics, Co-op, Indie, Open World, Action, RPG, Online Co-Op, Singleplayer, Platformer, Replay Value, Atmospheric, Family Friendly"
24,105700,Tobe's Vertical Adventure,"Action, Adventure, Indie","Single-player, Shared/Split Screen, Steam Achievements, Partial Controller Support, Steam Cloud, Steam Leaderboards","Indie, Action, Adventure, Platformer, Local Co-Op, Retro"
25,105800,PixelJunk™ Eden,"Action, Casual, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards","Casual, Indie, Platformer, Great Soundtrack, Action, Atmospheric, Music, Colorful, Singleplayer, 2D, Relaxing, Pixel Graphics"
26,10680,Aliens vs. Predator™,Action,"Single-player, Multi-player, Co-op, Steam Achievements, Steam Cloud, Stats, Steam Leaderboards","Action, FPS, Aliens, Sci-fi, Multiplayer, Horror, Shooter, Singleplayer, First-Person, Stealth, Gore, Survival, Atmospheric, Co-op, Survival Horror, Hunting, Blood, Adventure, Online Co-Op, Strategy"
